month,sensor_id,avg_hourly_counts,sensor_description,latitude,longitude,location,rank
August,27,114.89784946236558,QV Market-Peel St,-37.80606888,144.95644693,"(-37.80606888, 144.95644693)",65
August,87,108.22177419354838,Errol St (West),-37.80454949,144.94921863,"(-37.80454949, 144.94921863)",66
August,68,107.01411290322581,Flinders Ln -Degraves St (North),-37.81684789,144.96559789,"(-37.81684789, 144.96559789)",67
August,62,101.51914414414415,La Trobe St (North),-37.80996494,144.96216521,"(-37.80996494, 144.96216521)",68
August,51,99.76388888888889,QVM-Franklin St (North),-37.80841814,144.95906317,"(-37.80841814, 144.95906317)",69
August,44,97.37768817204301,Tin Alley-Swanston St (West),-37.79690473,144.96440378,"(-37.79690473, 144.96440378)",70
August,46,85.84649122807018,Pelham St (South),-37.80240719,144.96156731,"(-37.80240719, 144.96156731)",71
August,65,80.81451612903226,Swanston St - City Square,-37.81569416,144.96680641,"(-37.81569416, 144.96680641)",72
August,85,77.77150537634408,Macaulay Rd (North),-37.79432414,144.92973379,"(-37.79432414, 144.92973379)",73
August,11,69.07830764456398,Waterfront City,-37.81564989,144.93970695,"(-37.81564989, 144.93970695)",74
August,69,66.78494623655914,Flinders Ln -Degraves St (Crossing),-37.81687225,144.96559145,"(-37.81687225, 144.96559145)",75
August,86,57.89784946236559,Queensberry St - Errol St (South),-37.80309992,144.94908064,"(-37.80309992, 144.94908064)",76
August,76,57.541666666666664,Macaulay Rd- Bellair St,-37.79453802,144.93036194,"(-37.79453802, 144.93036194)",77
August,64,43.37938596491228,Royal Pde - Grattan St,-37.79949544,144.95792282,"(-37.79949544, 144.95792282)",78
August,75,37.40524193548387,Spring St- Flinders st (West),-37.81515275,144.97467661,"(-37.81515275, 144.97467661)",79
August,78,35.99327956989247,Harbour Esplanade (West) - Bike Path,-37.81471642,144.9446508,"(-37.81471642, 144.9446508)",80
August,71,33.729838709677416,Westwood Place,-37.81235775,144.97136962,"(-37.81235775, 144.97136962)",81
December,38,2545.8938172043013,Flinders St-Swanston St (West),-37.81723437,144.96715033,"(-37.81723437, 144.96715033)",1
December,41,1719.2328629032259,Flinders La-Swanston St (West),-37.81668633,144.96689733,"(-37.81668633, 144.96689733)",2
December,4,1632.8618951612902,Town Hall (West),-37.81487988,144.9660878,"(-37.81487988, 144.9660878)",3
December,35,1587.7132616487456,Southbank,-37.82017828,144.96508877,"(-37.82017828, 144.96508877)",4
December,22,1421.7235863095239,Flinders St-Elizabeth St (East),-37.81786445,144.96506823,"(-37.81786445, 144.96506823)",5
December,32,1376.0154761904762,City Square,-37.81573742,144.96685718,"(-37.81573742, 144.96685718)",6
December,2,1357.9645368072788,Bourke Street Mall (South),-37.81380667,144.96516719,"(-37.81380667, 144.96516719)",7
December,1,1355.8594720496894,Bourke Street Mall (North),-37.8134944,144.96515324,"(-37.8134944, 144.96515324)",8
December,6,1173.7109181141439,Flinders Street Station Underpass,-37.81911704,144.96558256,"(-37.81911704, 144.96558256)",9
December,3,1130.664396003633,Melbourne Central,-37.81101523,144.96429485,"(-37.81101523, 144.96429485)",10
December,5,1111.55076509512,Princes Bridge,-37.81874249,144.96787656,"(-37.81874249, 144.96787656)",11
December,24,983.2362764550264,Spencer St-Collins St (North),-37.81887962,144.95449198,"(-37.81887962, 144.95449198)",12
December,47,916.9836021505376,Melbourne Central-Elizabeth St (East),-37.81160331,144.96220077,"(-37.81160331, 144.96220077)",13
December,45,892.7523521505376,Little Collins St-Swanston St (East),-37.81414074,144.9660938,"(-37.81414074, 144.9660938)",14
December,28,816.3564814814815,The Arts Centre,-37.82129924,144.96879309,"(-37.82129924, 144.96879309)",15
December,16,782.2994623655914,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)",16
December,15,767.6564393939394,State Library,-37.81064378,144.96447132,"(-37.81064378, 144.96447132)",17
December,55,760.6052867383513,Elizabeth St-La Trobe St (East),-37.80988941,144.96134331,"(-37.80988941, 144.96134331)",18
December,53,713.0453149001536,Collins Street (North),-37.8156419,144.965499,"(-37.8156419, 144.965499)",19
December,25,693.480521597392,Melbourne Convention Exhibition Centre,-37.82401776,144.95604426,"(-37.82401776, 144.95604426)",20
December,66,640.4227150537635,State Library - New,-37.81057845,144.96444294,"(-37.81057845, 144.96444294)",21
December,13,634.6498655913979,Flagstaff Station,-37.81239679,144.95652653,"(-37.81239679, 144.95652653)",22
December,21,585.8646986469864,Bourke St-Russell St (West),-37.81244703,144.96778757,"(-37.81244703, 144.96778757)",23
December,19,563.3912783751493,Chinatown-Swanston St (North),-37.81237202,144.96550671,"(-37.81237202, 144.96550671)",24
December,58,529.1105510752689,Bourke St - Spencer St (North),-37.81686074,144.95358075,"(-37.81686074, 144.95358075)",25
December,79,489.7123655913978,Flinders St (South),-37.81794046,144.96616678,"(-37.81794046, 144.96616678)",26
December,26,482.5317745803357,QV Market-Elizabeth St (West),-37.80869542,144.96049404,"(-37.80869542, 144.96049404)",27
December,30,468.2200630252101,Lonsdale St (South),-37.81121849,144.96656807,"(-37.81121849, 144.96656807)",28
December,65,460.3360215053763,Swanston St - City Square,-37.81569416,144.96680641,"(-37.81569416, 144.96680641)",29
December,14,412.90723070398644,Sandridge Bridge,-37.82011242,144.96291898,"(-37.82011242, 144.96291898)",30
December,17,385.44713261648747,Collins Place (South),-37.81362542,144.97323592,"(-37.81362542, 144.97323592)",31
December,9,383.7789495450786,Southern Cross Station,-37.81982992,144.95102556,"(-37.81982992, 144.95102556)",32
December,72,383.6317204301075,Flinders St- ACMI,-37.81726337,144.96872809,"(-37.81726337, 144.96872809)",33
December,57,374.1757075471698,Bourke St Bridge,-37.8176735,144.95025595,"(-37.8176735, 144.95025595)",34
December,29,371.34818181818184,St Kilda Rd-Alexandra Gardens,-37.81965808,144.96863453,"(-37.81965808, 144.96863453)",35
December,63,358.0275157232704,231 Bourke St,-37.81333081,144.96675572,"(-37.81333081, 144.96675572)",36
December,20,350.705174488568,Chinatown-Lt Bourke St (South),-37.81172913,144.9682466,"(-37.81172913, 144.9682466)",37
December,52,335.7967741935484,Elizabeth St-Lonsdale St (South),-37.81252157,144.9619401,"(-37.81252157, 144.9619401)",38
December,7,288.81903353057197,Birrarung Marr,-37.81862929,144.97169395,"(-37.81862929, 144.97169395)",39
December,18,279.9518196856907,Collins Place (North),-37.81344861,144.97305354,"(-37.81344861, 144.97305354)",40
December,67,278.52889784946234,Flinders Ln -Degraves St (South),-37.81688755,144.9656257,"(-37.81688755, 144.9656257)",41
December,31,277.8778375149343,Lygon St (West),-37.8016968,144.96658911,"(-37.8016968, 144.96658911)",42
December,50,274.9056451612903,Faraday St-Lygon St (West),-37.79808191,144.96721014,"(-37.79808191, 144.96721014)",43
December,23,271.23163580246916,Spencer St-Collins St (South),-37.81909256,144.95452749,"(-37.81909256, 144.95452749)",44
December,56,263.4307795698925,Lonsdale St - Elizabeth St (North),-37.81234775,144.96153311,"(-37.81234775, 144.96153311)",45
December,12,245.83643507030604,New Quay,-37.81457987,144.94292398,"(-37.81457987, 144.94292398)",46
December,61,242.33736559139786,RMIT Building 14,-37.80767455,144.96309115,"(-37.80767455, 144.96309115)",47
December,36,232.31950844854072,Queen St (West),-37.81652527,144.96121063,"(-37.81652527, 144.96121063)",48
December,48,216.4978494623656,QVM-Queen St (East),-37.80631581,144.95866698,"(-37.80631581, 144.95866698)",49
December,40,213.28475422427036,Lonsdale St-Spring St (West),-37.80999341,144.97227588,"(-37.80999341, 144.97227588)",50
