sensor_id,day,time,avg_hourly_counts,sensor_description,latitude,longitude,location
50,Friday,0,30.251851851851853,Faraday St-Lygon St (West),-37.79808191,144.96721014,"(-37.79808191, 144.96721014)"
50,Friday,1,14.74074074074074,Faraday St-Lygon St (West),-37.79808191,144.96721014,"(-37.79808191, 144.96721014)"
50,Friday,2,6.970370370370371,Faraday St-Lygon St (West),-37.79808191,144.96721014,"(-37.79808191, 144.96721014)"
50,Friday,3,4.803703703703704,Faraday St-Lygon St (West),-37.79808191,144.96721014,"(-37.79808191, 144.96721014)"
50,Friday,4,7.548148148148148,Faraday St-Lygon St (West),-37.79808191,144.96721014,"(-37.79808191, 144.96721014)"
50,Friday,5,10.348148148148148,Faraday St-Lygon St (West),-37.79808191,144.96721014,"(-37.79808191, 144.96721014)"
50,Friday,6,20.44814814814815,Faraday St-Lygon St (West),-37.79808191,144.96721014,"(-37.79808191, 144.96721014)"
50,Friday,7,62.303703703703704,Faraday St-Lygon St (West),-37.79808191,144.96721014,"(-37.79808191, 144.96721014)"
50,Friday,8,131.37777777777777,Faraday St-Lygon St (West),-37.79808191,144.96721014,"(-37.79808191, 144.96721014)"
50,Friday,9,175.76666666666668,Faraday St-Lygon St (West),-37.79808191,144.96721014,"(-37.79808191, 144.96721014)"
50,Friday,10,235.67037037037036,Faraday St-Lygon St (West),-37.79808191,144.96721014,"(-37.79808191, 144.96721014)"
50,Friday,11,291.56296296296296,Faraday St-Lygon St (West),-37.79808191,144.96721014,"(-37.79808191, 144.96721014)"
50,Friday,12,388.9925925925926,Faraday St-Lygon St (West),-37.79808191,144.96721014,"(-37.79808191, 144.96721014)"
50,Friday,13,406.4,Faraday St-Lygon St (West),-37.79808191,144.96721014,"(-37.79808191, 144.96721014)"
50,Friday,14,361.14814814814815,Faraday St-Lygon St (West),-37.79808191,144.96721014,"(-37.79808191, 144.96721014)"
50,Friday,15,336.2888888888889,Faraday St-Lygon St (West),-37.79808191,144.96721014,"(-37.79808191, 144.96721014)"
50,Friday,16,328.8407407407407,Faraday St-Lygon St (West),-37.79808191,144.96721014,"(-37.79808191, 144.96721014)"
50,Friday,17,393.8,Faraday St-Lygon St (West),-37.79808191,144.96721014,"(-37.79808191, 144.96721014)"
50,Friday,18,460.44814814814816,Faraday St-Lygon St (West),-37.79808191,144.96721014,"(-37.79808191, 144.96721014)"
50,Friday,19,499.6925925925926,Faraday St-Lygon St (West),-37.79808191,144.96721014,"(-37.79808191, 144.96721014)"
50,Friday,20,492.3851851851852,Faraday St-Lygon St (West),-37.79808191,144.96721014,"(-37.79808191, 144.96721014)"
50,Friday,21,431.2925925925926,Faraday St-Lygon St (West),-37.79808191,144.96721014,"(-37.79808191, 144.96721014)"
50,Friday,22,338.23333333333335,Faraday St-Lygon St (West),-37.79808191,144.96721014,"(-37.79808191, 144.96721014)"
50,Friday,23,180.66666666666666,Faraday St-Lygon St (West),-37.79808191,144.96721014,"(-37.79808191, 144.96721014)"
50,Monday,0,25.401486988847584,Faraday St-Lygon St (West),-37.79808191,144.96721014,"(-37.79808191, 144.96721014)"
50,Monday,1,11.275092936802974,Faraday St-Lygon St (West),-37.79808191,144.96721014,"(-37.79808191, 144.96721014)"
